State,Description,CHGOFF
AK,Alaska,11.46
AL,Alabama,16.71
AR,Arkansas,16.99
AZ,Arizona,21.05
CA,California,18.73
CO,Colorado,18.08
CT,Connecticut,14.18
DC,District of Columbia,24.26
DE,Delaware,18.16
FL,Florida,27.81
GA,Georgia,24.27
HI,Hawaii,15.68
IA,Iowa,11.63
ID,Idaho,14.29
IL,Illinois,23.04
IN,Indiana,18.03
KS,Kansas,13.18
KY,Kentucky,19.65
LA,Louisiana,18.33
MA,Massachusetts,13.24
MD,Maryland,20.02
ME,Maine,10.07
MI,Michigan,23.14
MN,Minnesota,11.95
MO,Missouri,15.43
MS,Mississippi,16.17
MT,Montana,6.93
NC,North Carolina,19.61
ND,North Dakota,7.86
NE,Nebraska,11.45
NH,New Hampshire,10.85
NJ,New Jersey,20.37
NM,New Mexico,11.04
NV,Nevada,23.36
NY,New York,20.26
OH,Ohio,16.79
OK,Oklahoma,15.69
OR,Oregon,15.59
PA,Pennsylvania,14.84
RI,Rhode Island,11.51
SC,South Carolina,20.71
SD,South Dakota,7.99
TN,Tennessee,21.56
TX,Texas,19.06
UT,Utah,18.08
VA,Virginia,19.16
VT,Vermont,7.48
WA,Washington,14.27
WI,Wisconsin,12.4
WV,West Virginia,16.48
WY,Wyoming,7.1
